datetime,provider,model_short_name,model_full_name,tier,multimodal,price_in,price_out,ctx,total,rows_with_values,rows_empty,total_elapsed_secs,total_prompt_tokens,total_completion_tokens,total_cost_usd,avg_secs_per_row,avg_cost_per_row,charity_number,charity_name,report_date,income_annually_in_british_pounds,spending_annually_in_british_pounds,address__postcode,address__post_town,address__street_line,batch_id
2026-04-11 17:32:44,OpenRouter,deepseek-r1-free,deepseek-r1-free,free,False,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,
2026-03-29 02:12:15,Doubleword,dw-deepseek-ocr-2,deepseek-ai/DeepSeek-OCR-2,ultra_cheap,False,0.08,0.08,8000,11,0,11,14113.0,43876,3453,0.003786,1283.0,0.000344,0,0,0,0,0,0,0,0,c2b12480-6079-4dab-a7bd-de1ad1f3fa5b
2026-03-07 01:28:26,Doubleword,dw-gpt-oss-20b,openai/gpt-oss-20b,ultra_cheap,False,0.03,0.2,131000,11,11,0,195.0,157898,12790,0.007295,17.73,0.000663,11,11,11,8,8,10,10,10,9705ae5e-65e1-45ab-ba23-c724ba89ef1b
2026-03-31 18:50:16,Doubleword,dw-lightonocr-2-1b-bbox-soup,lightonai/LightOnOCR-2-1B-bbox-soup,ultra_cheap,False,0.08,0.08,262000,11,1,10,117.0,49696,35480,0.006814,10.64,0.000619,1,1,1,1,1,1,1,1,f175829b-4416-4adf-b89f-1d4850a0a9c1
2026-03-20 23:45:09,Doubleword,dw-nemotron-120b,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,premium,False,0.23,0.56,262000,11,10,1,406.0,181119,39379,0.06371,36.91,0.005792,10,10,10,7,7,9,10,10,d909a0bc-0d55-48c1-b9ac-50a07ccb7a90
2026-03-29 02:12:15,Doubleword,dw-olmocr-2-7b-1025-fp8,allenai/olmOCR-2-7B-1025-FP8,ultra_cheap,False,0.15,0.15,128000,11,8,3,32214.0,49696,1128,0.007624,2928.55,0.000693,8,8,8,8,8,8,8,8,8575b4b8-784a-47b3-8833-e467bc711091
2026-03-07 01:25:02,Doubleword,dw-qwen3-14b,Qwen/Qwen3-14B-FP8,ultra_cheap,False,0.03,0.3,40000,11,10,1,18692.0,107663,7190,0.005387,1699.27,0.00049,10,10,10,9,9,9,10,10,b88d10d5-12a1-4548-9d40-0aeb46b5a384
2026-03-07 01:45:16,Doubleword,dw-qwen3-vl-235b,Qwen/Qwen3-VL-235B-A22B-Instruct-FP8,premium,True,0.15,0.55,256000,11,11,0,483.0,176847,1535,0.027371,43.91,0.002488,11,11,11,10,10,11,11,11,1d93d13c-d95b-4594-852e-722cbdfe9f7a
2026-03-07 01:37:09,Doubleword,dw-qwen3-vl-30b,Qwen/Qwen3-VL-30B-A3B-Instruct-FP8,ultra_cheap,True,0.07,0.3,256000,11,11,0,184.0,176847,1574,0.012851,16.73,0.001168,11,11,11,11,11,11,11,11,4466546a-1b95-4a48-b7c7-3e456d5bee6e
2026-03-07 01:33:42,Doubleword,dw-qwen3.5-35b,Qwen/Qwen3.5-35B-A3B-FP8,ultra_cheap,False,0.07,0.3,262000,11,11,0,310.0,176660,73392,0.034384,28.18,0.003126,11,11,11,9,9,10,10,10,517c7198-e0c6-4861-8a1e-8594b65f81e5
2026-03-07 01:33:45,Doubleword,dw-qwen3.5-397b,Qwen/Qwen3.5-397B-A17B,premium,False,0.3,1.8,262000,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-03-20 23:45:08,Doubleword,dw-qwen3.5-4b,Qwen/Qwen3.5-4B,ultra_cheap,False,0.05,0.08,262000,11,11,0,408.0,176660,79386,0.015184,37.09,0.00138,11,11,11,8,8,11,11,10,577db53a-b146-4e0d-86bb-a16376735737
2026-03-07 01:20:11,Doubleword,dw-qwen3.5-9b,Qwen/Qwen3.5-9B,ultra_cheap,False,0.04,0.35,262000,11,11,0,353.0,176660,80918,0.035388,32.09,0.003217,11,11,11,8,8,10,11,11,d7631b0c-bdfa-44cb-b4f0-9a0a1cd21c0b
2026-04-11 17:32:44,OpenRouter,gemini-flash-free,gemini-flash-free,free,False,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:44,OpenRouter,gpt-oss-120b-free,gpt-oss-120b-free,free,False,0,0,0,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:44,OpenRouter,llama-3.2-90b-vision,llama-3.2-90b-vision,free,False,0,0,0,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:44,OpenRouter,llama-4-scout-free,llama-4-scout-free,free,False,0,0,0,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-03-06 20:24:00,OpenRouter,claude-3.5-haiku,anthropic/claude-3.5-haiku,great_value,True,0.8,4.0,200000,11,11,0,197.87,191065,1674,0.159548,17.99,0.014504,11,11,11,9,9,10,11,11,
2026-03-06 20:26:07,OpenRouter,command-r-plus,cohere/command-r-plus-08-2024,premium,False,2.5,10.0,128000,11,11,0,126.83,189535,1488,0.488717,11.53,0.044429,11,11,10,7,7,11,11,10,
2026-04-11 17:32:44,OpenRouter,deepseek-r1,deepseek/deepseek-r1,great_value,False,0.4,1.75,164000,11,10,1,0.0,0,0,0.0,0.0,0.0,10,10,10,9,9,10,10,10,
2026-04-11 17:32:44,OpenRouter,deepseek-v3.2,deepseek/deepseek-v3.2,ultra_cheap,False,0.21,0.79,164000,10,6,4,0.0,0,0,0.0,0.0,0.0,6,6,6,4,4,6,6,6,
2026-04-11 17:32:44,OpenRouter,deepseek-v3,deepseek/deepseek-chat,ultra_cheap,False,0.27,1.1,164000,10,10,0,0.0,0,0,0.0,0.0,0.0,10,10,10,4,4,10,10,10,
2026-04-11 17:32:44,OpenRouter,gemini-2.0-flash,google/gemini-2.0-flash-001,ultra_cheap,True,0.1,0.4,1000000,11,11,0,0.0,0,0,0.0,0.0,0.0,10,9,11,6,6,10,10,10,
2026-04-11 17:32:44,OpenRouter,gemini-2.5-flash,google/gemini-2.5-flash,ultra_cheap,True,0.15,0.6,1000000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 17:32:44,OpenRouter,gemini-3-flash,google/gemini-3-flash-preview,ultra_cheap,True,0.15,0.6,1000000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 17:32:44,OpenRouter,gemini-3-pro,google/gemini-3-pro-preview,premium,True,2.0,12.0,1050000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,10,11,11,
2026-04-11 17:32:44,OpenRouter,gemma-3-12b,google/gemma-3-12b-it,ultra_cheap,True,0.06,0.12,131000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-03-06 19:43:28,OpenRouter,gemma-3-27b-free,google/gemma-3-27b-it:free,free,True,0,0,131000,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:44,OpenRouter,gemma-3-27b,google/gemma-3-27b-it,great_value,True,0.1,0.2,131000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,8,8,10,11,11,
2026-03-06 19:44:11,OpenRouter,gemma-3n-free,google/gemma-3n-e2b-it:free,free,True,0,0,8000,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:44,OpenRouter,gemma-3n,google/gemma-3n-e4b-it,ultra_cheap,True,0.02,0.04,32000,2,1,1,0.0,0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,
2026-04-11 17:32:44,OpenRouter,gpt-4o-mini,openai/gpt-4o-mini,ultra_cheap,True,0.15,0.6,128000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,8,8,10,10,10,
2026-04-11 17:32:44,OpenRouter,llama-3.1-8b,meta-llama/llama-3.1-8b-instruct,ultra_cheap,False,0.02,0.05,131000,11,6,5,0.0,0,0,0.0,0.0,0.0,6,6,6,6,6,6,6,6,
